"Timestamp","1. What devices do you own? ","2. What device do you typically use to browse online?","3. What content do you look at while browsing online?","4. When you find a link or an image that interests you online, do you save it?","5. If so, how do you save that content? ","6. What specific tools or sites do you use to bookmark?","7. What do you like most about those tools?","8. What do you like least about those tools?","9. How often do you write notes to remember things for later?","10. If so, why do you write and keep notes?","11. If so, what applications do you use to write and keep notes?","12. What do you like most about these tools?","13. What do you like least about these tools?","14. What is your profession?","15. Do you work in a collaborative environment?","16. How often do you share resources (like files, images, links, etc.) and collaborate with your co­workers?","17. Do you have a Facebook or Twitter account? ","18. If so, do you use one of these to register or sign up for an account on other websites?","19. If so, why?","20. What is your age?","21. Where do you live?"
"2017/08/06 10:32:24 PM AST","a. Smart Phone;c. Laptop;d. Desktop Computer;e. Smart TV","a. Smart Phone;c. Laptop","a. News;b. Social networks;d. Other","c. No","d. Don’t know","g. None","None","None","b. Sometimes","b. Personal","d. Smart phone app","Simple and easy to use","None","Student","a. Yes","a. Often","a. Yes","a. Yes","a. It’s quick and easy.","b. 25 ­ 34 years old","Missouri"
"2017/08/06 10:38:48 PM AST","a. Smart Phone;c. Laptop;e. Smart TV","a. Smart Phone","a. News;b. Social networks","b. Sometimes","a. Bookmark it in my browser","a. Browser;e. Facebook","Easy access","Alot of platforms to choose from","b. Sometimes","b. Personal","d. Smart phone app","Easy to use when i need to jot things down","","IT - Business Analyst","a. Yes","b. Sometimes","a. Yes","a. Yes","a. It’s quick and easy.","b. 25 ­ 34 years old","Seattle "
"2017/08/06 10:55:13 PM AST","a. Smart Phone;b. Tablet;c. Laptop;d. Desktop Computer","a. Smart Phone;b. Tablet;c. Laptop","b. Social networks;c. Videos","b. Sometimes","a. Bookmark it in my browser","a. Browser;e. Facebook","Fast and convenient","","a. Often","a. Business;b. Personal","a. Evernote;c. Microsoft Word","","","Marketing officer","a. Yes","b. Sometimes","a. Yes","a. Yes","a. It’s quick and easy.","a. 18 ­ 24 years old","Manila"
"2017/08/06 11:03:40 PM AST","a. Smart Phone;c. Laptop","a. Smart Phone;c. Laptop","d. Other","b. Sometimes","a. Bookmark it in my browser","a. Browser","lets you go back to the link whenever you have time to read it again","n/a","a. Often","b. Personal","d. Smart phone app","lets you list down your tasks and important notes","n/a","Software QA Engr.","a. Yes","a. Often","a. Yes","a. Yes","a. It’s quick and easy.","b. 25 ­ 34 years old","Philippines"
"2017/08/06 11:49:14 PM AST","a. Smart Phone;c. Laptop","a. Smart Phone;c. Laptop","a. News;b. Social networks;c. Videos;d. Other","b. Sometimes","a. Bookmark it in my browser","b. Pinterest;e. Facebook","","","a. Often","b. Personal;d. Other","c. Microsoft Word;d. Smart phone app","Easy to use, convenient","","Student, part-time worker","a. Yes","a. Often","a. Yes","a. Yes","a. It’s quick and easy.;b. I don’t have to remember a password.","b. 25 ­ 34 years old","North Hills, CA"
"2017/08/06 11:51:43 PM AST","a. Smart Phone;b. Tablet;c. Laptop","a. Smart Phone","b. Social networks;c. Videos","b. Sometimes","a. Bookmark it in my browser","b. Pinterest;e. Facebook","useful in daily living","dont know","a. Often","a. Business;b. Personal","d. Smart phone app","helpful ","dont know","document controller","a. Yes","b. Sometimes","a. Yes","a. Yes","a. It’s quick and easy.;b. I don’t have to remember a password.","b. 25 ­ 34 years old","uae"
"2017/08/07 12:03:51 AM AST","a. Smart Phone;b. Tablet;c. Laptop","a. Smart Phone;b. Tablet;c. Laptop","b. Social networks;c. Videos","a. Yes","b. Download it","b. Pinterest;d. Twitter;e. Facebook","easy to access","none","a. Often","b. Personal","b. Desktop applications;c. Microsoft Word;d. Smart phone app","user friendly","none","Production Assistant","a. Yes","b. Sometimes","a. Yes","a. Yes","a. It’s quick and easy.","b. 25 ­ 34 years old","Metro Manila, Philippines"
"2017/08/07 12:33:08 AM AST","a. Smart Phone;c. Laptop","a. Smart Phone;c. Laptop","b. Social networks;c. Videos;d. Other","a. Yes","c. Use a bookmarking application","e. Facebook;h. Other","Simple and User Friendly","None","a. Often","a. Business;b. Personal","d. Smart phone app","Simple and User Friendly","None","Manager","a. Yes","a. Often","a. Yes","a. Yes","a. It’s quick and easy.;b. I don’t have to remember a password.","b. 25 ­ 34 years old","Philippines"
"2017/08/07 12:53:12 AM AST","a. Smart Phone;c. Laptop","a. Smart Phone","a. News","b. Sometimes","b. Download it;c. Use a bookmarking application","c. Pocket","Can save data from other website","Not thay user friendly for me","a. Often","b. Personal","d. Smart phone app","Easy to use","","Nurse","a. Yes","b. Sometimes","a. Yes","a. Yes","a. It’s quick and easy.","b. 25 ­ 34 years old","Norway"
"2017/08/07 1:45:50 AM AST","a. Smart Phone;b. Tablet","a. Smart Phone","b. Social networks;c. Videos","c. No","e. Other","d. Twitter;e. Facebook","I can see my friend in it.","I dont know","b. Sometimes","b. Personal","c. Microsoft Word","","","Nurse","a. Yes","b. Sometimes","a. Yes","a. Yes","a. It’s quick and easy.","b. 25 ­ 34 years old","norway"
